what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1333962225250
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1333962225250
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1333962225265
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1333962225312
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1333962225328
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1333962225453
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1333962225484
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1333962225500
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1333962225515
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1333962225531
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1333962225531
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1333962225531
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1333962225531
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1333962225546
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1333962225546
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1333962225578
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1333962225578
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1333962225578
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1333962225593
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1333962225593
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1333962225609
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1333962225609
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1333962225640
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1333962225656
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1333962225671
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1333962225687
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1333962225703
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1333962225703
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1333962225718
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1333962225718
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1333962225718
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1333962225734
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1333962225734
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1333962225750
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1333962225765
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1333962225765
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1333962225765
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1333962225796
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1333962225828
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1333962225828
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1333962225843
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1333962225875
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1333962225890
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1333962225906
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1333962225921
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1333962225921
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1333962225953
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1333962225953
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1333962225953
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1333962225968
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1333962225968
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1333962225984
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1333962226000
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1333962226015
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1333962226031
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1333962226046
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1333962226046
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1333962226046
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1333962226062
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1333962226078
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1333962226093
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1333962226109
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1333962226109
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1333962226109
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1333962226109
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1333962226109
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1333962226140
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1333962226140
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333962226156
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1333962226171
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333962226171
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1333962226171
started,bundle,com.android.ide.eclipse.ddms,17.0.0.v201203161636-291853,"com.android.ide.eclipse.ddms",1333962226171
os,sysinfo,,,"win32",1333962226187
arch,sysinfo,,,"x86",1333962226187
ws,sysinfo,,,"win32",1333962226187
locale,sysinfo,,,"en_US",1333962226187
processors,sysinfo,,,"2",1333962226187
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333962226187
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1333962226187
java.specification.name,sysinfo,,,"Java Platform API Specification",1333962226187
java.specification.vendor,sysinfo,,,"Oracle Corporation",1333962226187
java.specification.version,sysinfo,,,"1.7",1333962226187
java.vendor,sysinfo,,,"Oracle Corporation",1333962226187
java.version,sysinfo,,,"1.7.0_02",1333962226187
java.vm.info,sysinfo,,,"mixed mode, sharing",1333962226187
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1333962226187
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333962226187
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1333962226187
java.vm.specification.version,sysinfo,,,"1.7",1333962226187
java.vm.vendor,sysinfo,,,"Oracle Corporation",1333962226187
java.vm.version,sysinfo,,,"22.0-b10",1333962226187
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333962226250
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1333962226359
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1333962226406
started,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1333962226406
started,bundle,com.android.ide.eclipse.traceview,17.0.0.v201203161636-291853,"com.android.ide.eclipse.traceview",1333962228531
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962229125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962232718
error,log,,,"",1333962246078
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962246265
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1333962246281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1333962246281
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1333962247968
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1333962248000
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333962268093
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333962274687
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1333962275187
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1333962275187
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1333962277906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1333962285687
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1333962285718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962290328
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1333962292421
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1333962292437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962293593
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1333962320828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962335156
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1333962335187
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1333962335375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962336406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962348062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962349671
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962360781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962364984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962366203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962398781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962402375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962404281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962452640
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1333962454109
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1333962454109
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1333962454265
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1333962454421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962494093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962498343
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1333962524796
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1333962524828
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1333962525468
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1333962525468
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1333962525500
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1333962525515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962528187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1333962528203
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1333962535062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962535531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962557500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962561421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962595468
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1333962595484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962595921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962768375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962771718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962773562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333962775343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962777718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962778968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962780578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962853218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962855531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962855531
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962856531
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962872203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962873093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962874187
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962990312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962992593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962992593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333962992734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963025125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963031625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963062406
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1333963062421
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963062875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963316578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333963320062
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333963322343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963323812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963427156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963428640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963485156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1333963488796
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1333963490203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963490625
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963506437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963529250
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1333963529250
